publisher,num_languages,%_positive_reviews,RPR
Daniel Mullins Games,11.0,94.97899579915985,19.03386689361921
David Mulder,1.0,45.45454545454545,22.841480127912288
David OReilly,3.0,85.92337494619026,86.7912878244346
Daybreak Game Company,5.0,91.9233971690258,6.132314687726871
Days of Wonder,5.0,88.2051282051282,8.829342162675495
Deck13,5.0,95.30067702110712,4.767417559835274
Deep Silver,7.8125,74.00076890414867,4.53638422806762
Defiant Development,11.5,87.44248466257667,3.6619122860819227
Degica,5.8,89.00556489648679,3.4232411325416208
DesktopPaints LLC,4.0,70.33898305084746,17.62881780722994
Devdan Games,1.0,60.0,15.037593984962406
Devolver Digital,7.055555555555555,88.54172549218475,7.3524349589748255
Diatomic Games,1.0,84.13858868404323,28.13999621539907
Digital Confectioners,13.0,90.37686655605592,4.521103879742667
Digital Tribe,2.0,73.16810344827587,5.6326484563722765
DigitalDNA Games LLC,6.0,78.54942593111174,19.6865729150656
Digitalmindsoft,7.0,77.21446881230418,5.151065297685402
"Dingaling Productions, LLC",1.0,96.10576232217272,9.62019642864592
Dinosaur Polo Club,25.0,96.67013527575442,9.676690217793237
Disney Interactive,4.933333333333334,87.65174072835937,7.9483623270003
Displacement Studios,1.0,80.0,80.8080808080808
DistrictWare inc.,1.0,70.3056768558952,4.690171904996344
Doborog Games,1.0,97.53333333333332,6.506559928841448
DolphinBarn,1.0,88.60471005317801,8.869340345663465
Dominique Grieshofer,28.0,95.52778196054813,31.949090956705056
DotEmu,10.0,52.734375,8.803735392320533
Double Damage Games,7.0,86.61345496009122,4.332839167588356
Double Fine Presents,4.5,80.29442209366091,45.26321442850374
Double Fine Productions,4.666666666666667,92.96937971409022,7.274537502731757
DoubleBear Productions,1.0,71.32644956314536,3.56810653142298
Dovetail Games - Fishing,7.0,56.685499058380415,2.8356927993186805
Dovetail Games - Flight,1.0,84.42107332415962,3.378194210650645
Dovetail Games - TSW,8.0,70.97301717089125,1.3648657148248318
Dovetail Games - Trains,8.0,67.25514922236235,2.2425858360240865
Downpour Interactive,1.0,75.41581225791752,3.017839626167168
Dry Cactus,10.0,89.72602739726028,8.981584324050077
DyingCat,2.0,66.66666666666666,22.296544035674465
Dylan Fitterer,1.0,78.83660704327829,4.594492399106375
Dymchick1,1.0,54.6875,27.481155778894472
EarthWork Games,14.0,88.7780548628429,5.922485314399125
EcoGames,1.0,76.92307692307693,12.841916013869271
Edmund McMillen,1.0,93.38583097834825,12.614193386824212
"Eek! Games, LLC",1.0,88.23142669296516,5.886019125614753
Eggcode,18.0,88.08373590982286,5.876166504991518
Egosoft,9.0,67.0482095985175,6.094578429193121
Electronic Arts,8.625,84.97651482681127,4.499738378415999
Eleon Game Studios,8.0,81.47031734070167,4.075553643857012
Endnight Games Ltd,16.0,94.13797074743752,4.7092531639538535
Entrada Interactive LLC,1.0,66.14583333333334,2.646892090169401
"Epic Games, Inc.",3.0,91.75016630872886,5.401421445481171
Eternity Studios,1.0,37.25490196078432,9.337068160597576
Eugen Systems,7.5,81.420409908782,5.947513567602682
EuroVideo Medien,14.0,87.4414976599064,4.374262014002322
Eversim,9.0,45.49180327868852,0.910018069187608
Evil Tortilla Games,1.0,74.44798822374878,14.919436517785329
Excalibur Games,17.0,77.63997165131113,5.179451077472391
Facepalm Games,1.0,94.64285714285714,6.313732964833698
Facepunch Studios,13.0,85.85556730469608,2.4537172707829686
Failbetter Games,1.0,83.71422232083425,4.408331875767997
Falcon Development,1.0,96.16685456595263,6.415400571444472
"Fatbot Games, s. r. o.",10.0,89.36781609195403,4.47062611765653
Fatshark,8.0,83.74177286094384,2.792323203099161
Fayju,1.0,90.60665362035223,5.666457387138976
Fellow Traveller,9.0,93.63887791386804,9.373261052439243
Feral Interactive,8.777777777777779,83.5333859838012,3.479107394529616
Fifth Dimension Company,5.0,16.666666666666664,8.375209380234505
Finji,2.0,93.92265193370166,4.698481837603885
FireFly Studios,9.2,83.97429625781322,7.609584636632254
Fireproof Games,6.0,97.46031436502821,19.531125123252146
Fishing Cactus,11.0,95.54990464081374,6.374243138146347
Fixer Games,10.0,25.0,5.01002004008016
Flamebait Games,13.0,82.05659075224293,8.213872948172465
Flazm,10.5,72.67727195803013,7.2750021980010136
Flying Interactive,1.5,73.4412955465587,9.66337977701688
Focus Home Interactive,8.8125,73.00415387647826,2.9841248978902217
"Forward Global Group, Ltd.",17.0,66.66666666666666,2.667733760170735
Four Winged Studio,1.0,62.5,37.79433127259214
Freebird Games,12.0,96.02909090909093,9.612521612521611
Freehold Games,1.0,95.70502431118314,9.580082513631943
Frictional Games,7.0,95.77875564451641,3.9941147528427177
"FromSoftware, Inc",10.0,84.60458589477784,2.115643558259011
"FromSoftware, Inc.",12.0,92.24540344860436,1.5376796707551983
Frontier Developments,7.5,82.02410151640346,2.240932526121892
Frozenbyte,10.25,82.74863106069478,4.463511759757293
Fruitbat Factory,8.0,94.6002918761148,13.533661212605836
Funcom,12.0,78.7484595371765,1.9692037893767569
GSC Game World,8.666666666666666,88.49690056007772,4.427058557282527
GSC World Publishing,5.5,85.02281218111438,12.927374212346647
Gaddy Games,13.0,92.10239651416124,7.681601043716534
Galactic Cafe,12.0,91.95618545925834,6.13450203197187
Game Grumps,1.0,90.47909673481844,6.035963758160003
Game-Labs,8.5,73.8098769519518,2.211704000287222
GamersHype Productions,1.0,69.23076923076923,69.93006993006992
Games Operators,12.0,86.67442537096305,5.782149791258376
Gamious,11.0,91.26455906821964,9.135591498320284
"Gaslamp Games, Inc.",1.0,94.75698430922311,18.989375613070763
Gearbox Publishing,6.5,83.42489411115606,2.0408228671026567
Gears for Breakfast,11.0,98.40205609565317,3.281162257274197
Giant Army,22.0,95.20383693045564,3.809677348157489
Giant Fox Studios,1.0,73.33333333333333,51.55231242187763
Giants Software,12.5,89.45323362789628,5.216563989230099
Ginormocorp Holdings Ltd,8.0,81.83347350714887,16.399493688807386
Goldhawk Interactive,1.0,87.80068728522336,3.513432864554757
Good Shepherd Entertainment,11.0,71.02448736407534,2.9817533883788605
Google,1.0,94.34523809523807,4.719621715619714
Greenheart Games,17.0,94.63537300922046,9.47301031123328
Greens s.r.o.,1.0,82.50407830342577,5.503941181015729
Grey Box,8.0,68.9384800965018,2.2987155750750854
GrizzlyGames,1.0,97.21713658000732,32.51409250167469
Grunge Games LTD,1.0,95.67260408698502,96.6389940272576
Gun Media,6.0,72.64473880041673,3.634053967004339
Guy Godin,4.0,71.66979362101313,4.781173690527893
"H2 Interactive Co., Ltd.",5.0,94.53695373658775,2.761947273124797
HCPGames,1.0,25.0,25.252525252525253
HFM Games,1.0,82.75755706354101,41.586712092231664
Halfbrick Studios Pty Ltd,12.0,82.89786223277909,5.530210956156044
Handelabra Games Inc.,1.0,92.81842818428184,9.291133952380564
Headup,8.0,82.49097472924187,5.503067026633881
Heart Machine,6.0,93.6265709156194,4.683670380971456
Hello Games,14.0,62.589694470599696,1.0433354637539538
Hidden Path Entertainment,5.0,96.98053237981723,9.707760998980705
Hinterland Studio Inc.,18.0,90.022145155225,3.0017387514246416
Hollowings,1.0,85.71428571428571,43.07250538406317
Holotech Studios,9.0,80.79496261314443,5.389924123625379
Housemarque,14.0,91.20234604105572,4.562398501303438
Hovgaard Games,12.0,79.98965873836607,8.00697284668329
HuniePot,1.0,91.19710610222502,10.97399638108444
HypeTrain Digital,8.5,74.10542635658915,5.579933156279469
I-Illusions,1.0,95.7307885484681,6.386310109971188
"IDEA FACTORY Co., Ltd.",3.0,94.36673692278217,3.776179948890843
IMGN.PRO,10.0,77.86666666666666,2.596421029231966
INDIECN,4.0,78.97196261682244,11.297848729159147
IPACS,3.0,77.44034707158352,1.2908875991262465
IR Studio,4.0,60.0,60.60606060606061
IceTorch Interactive,1.0,85.45454545454545,8.554008554008554
Iceberg Interactive,7.0,74.62052028032639,2.630331227849583
Iceflake Studios,7.0,81.88405797101449,5.462578917345863
Idea Cabin,27.0,20.28985507246377,20.49480310349876
Idea Factory,3.0,93.6870689379362,3.7489823504576316
Idea Factory International,2.5,90.98483739182029,3.3463585617860745
"Idea Factory International, Inc.",3.0,94.36673692278217,3.776179948890843
Igara Studio,1.0,99.37247870909906,6.629251414883193
Illwinter Game Design,1.0,92.30817580048722,2.469336282763832
Image & Form Games,7.0,94.9792836305516,6.835940747444383
ImageCode,1.0,84.31208053691275,14.075472543725
Imperium42Ã‚Â® Game Studio,1.0,81.91304347826087,8.199503851677765
Indie Voyage,9.0,93.81898454746135,6.258771484153526
IndieGala,1.0,74.87216946676406,15.004442778910631
Infernal Dream,1.25,18.118939883645766,7.134560594421492
Infinite Dreams,12.0,93.9203354297694,9.401434977954894
Introversion Software,26.0,89.3640350877193,14.91887063234045
Io-Interactive A/S,4.5,89.51832030614861,6.8306154948584465
Ionized Games,1.0,70.44444444444444,14.117123135159206
Iron Galaxy,1.0,91.26730564430244,18.290041211283054
Ironhide Game Studio,5.5,95.45038042191311,9.554592634826138
Isokron,1.0,66.12903225806451,66.79700228087324
JDRumble,1.0,37.5,18.844221105527637
JForce Games,1.0,89.24933987174651,90.15084835529952
JIW-Games,2.0,83.73943311785182,5.586353109930075
"Jackbox Games, Inc.",1.0,93.70373514761013,6.1401782787737345
Jan ZelenÃƒÂ½,10.0,85.64356435643565,3.427113419625276
Joey Drew Studios Inc.,1.0,86.38941398865785,4.3216315151904885
John Wizard,1.0,76.31578947368422,15.29374538550786
"Jundroo, LLC",1.0,92.04176334106728,7.085586092460915
K Bros Games,2.6666666666666665,78.05320844913818,61.527280615014064
KHB-Soft,9.0,86.16810066920118,35.802128446520456
KISS ltd,1.0,56.34920634920635,31.64058719614275
"KOEI TECMO GAMES CO., LTD.",3.230769230769231,72.79202182098525,1.5336510532169416
Kakao Games Europe B.V.,4.0,71.94240724762726,7.201442166929655
Kalypso Media Digital,6.909090909090909,70.88053982152381,4.804252278433556
Kasedo Games,10.0,84.20684835779176,4.212448642210694
Keen Software House,9.0,72.3974322601702,3.6216824542356285
KillHouse Games,8.0,93.57335127860028,4.6810080679639965
Killerfish Games,1.0,85.54573044256675,5.356748044483252
Killmonday Games AB,4.0,96.05222256760956,6.407753340067349
KishMish Games,2.0,46.6733093045407,47.144756873273444
Klabater,12.0,78.76221498371335,3.940080789580458
Klei Entertainment,3.8,95.5151011810766,6.198542766077283
Knuckle Cracker,1.0,94.17476800707024,6.282506204607755
Koga Tech Limited,3.0,90.73741007194243,30.34695989028175
Konami Digital Entertainment,7.0,82.7341960687667,3.201831035706751
"Konami Digital Entertainment, Inc.",5.0,82.88461538461539,4.1463039211913655
Kristjan Skutta,19.0,98.4213515048268,24.667005389680902
KrupinskiArt,1.0,75.83333333333334,76.5993265993266
Kunos Simulazioni,4.0,88.50145288501453,4.427286287394424
LAN - GAMES EOOD,13.0,67.90123456790124,13.607461837254757
LVGameDev LLC,7.0,80.32128514056225,4.01807329367495
Laminar Research,7.0,89.56900504355801,1.4930655949917988
Landfall,1.0,93.2049160954857,18.67833989889493
Lantana Games,1.0,77.77777777777779,15.586729013582724
Lapovich Team,14.0,86.53846153846155,28.94262927707744
Larian Studios,7.0,83.91253248947893,4.871450122085275
Last Level,4.0,59.37603717225357,5.943547264489847
Lavaboots Studios,1.0,77.80303030303031,5.190328906139447
Leafy Games,1.0,91.10787172011662,3.645773178075896
League of Geeks,13.0,82.8436018957346,4.144252220897179
Lighthouse Games Studio,14.0,76.54096228868661,15.33887019813359
Lince Works,10.0,89.60843373493977,4.482663018256117
"Lion Shield, LLC",16.0,90.60319603871258,9.069388992864122
Lo-Fi Games,7.0,93.8882359226413,3.1306514145595634
Loiste Interactive,3.0,87.26190476190476,2.909700058749742
LongYou Tech Ltd,5.0,70.96774193548387,4.1770301315764495
LuGus Studios,2.0,91.2585244885307,4.565208828840956
LucasArts,4.571428571428571,88.29870440886519,8.23526832898507
Lucasfilm,4.571428571428571,88.29870440886519,8.23526832898507
Ludeon Studios,23.0,98.28122184177327,2.8088374347463065
Lukas Rustemeyer,2.0,91.92089529357658,6.132147784761613
M2H,12.0,87.2659269736329,4.365479088225758
MAGIX Software GmbH,5.0,71.02229753295155,1.0274334083810703
Mad Data GmbH & Co. KG,1.0,94.14414414414416,2.3541921516415143
Madruga Works,4.0,75.81418833627872,3.792605719673773
Magicbane,2.5,62.5,20.903010033444815
MangaGamer,2.0,83.9080459770115,3.357664905042477
Marco Tancredi,1.0,50.0,12.531328320802004
Marvelous,5.0,94.2828244311401,5.001598271407086
"Marvelous USA, Inc.",2.4,94.71056623128403,3.15376165134142
Mastfire Studios Pty Ltd,1.0,85.95238095238096,4.299768932085091
Matt Roszak,5.0,97.66949152542372,8.145912554247182
Matthew Brown,1.0,97.47191011235957,19.533448920312537
Mayflower Entertainment,5.0,95.30067702110712,4.767417559835274
"Mediascape Co., Ltd.",1.0,98.89258028792912,6.59723684375778
Mega Crit Games,15.0,98.06612601372426,3.9242147264395455
Merge Games,8.0,63.731656184486376,3.7511274976154434
Meridian4,5.0,69.56521739130434,6.963485224354789
Merlin Beer,1.0,100.0,101.010101010101
Microblast Games,1.0,51.40150520377395,51.92071232704439
Microids,8.0,66.95997911669959,4.26371481936113
Microids Indie,5.0,72.59615384615384,4.842972237902191
Microsoft Studios,10.0,82.25312934631432,2.0568424442689253
Might and Delight,17.0,90.343347639485,18.10487928646994
Milestone S.r.l.,7.0,77.68811491538764,1.9426885450209461
MinMax Games Ltd.,3.5,85.7454276501463,6.62142142846617
Mirillis,13.0,77.71084337349397,1.9432568985619896
Missing Link Games,6.0,92.822661444576,3.095120421626409
"Monochrome, Inc",1.0,72.14228617106315,7.221450067173488
Monomi Park,10.0,97.45480949287273,4.875178063675475
Moonlight Mouse,14.0,83.46774193548387,13.934514513436373
Mossmouth,5.0,92.22480715072854,6.152422091442864
Motion Twin,13.0,96.19144487766287,3.8491974740961536
MuHa Games,6.0,90.72602013778484,4.53857029203526
Muse Games,1.0,92.1894803548796,18.474845762500923
N3V Games,1.0,69.8989898989899,6.996895885784774
NEXT Studios,13.0,84.98498498498499,12.158080827608725
NEZOS GAMES,2.0,23.07692307692308,23.310023310023315
"NIS America, Inc.",3.0,90.67672162004283,5.285345894254788
NVLMaker,3.0,78.84615384615384,7.892507892507892
Natsume Inc.,1.0,75.79505300353357,3.791648474413885
Ndemic Creations,15.0,93.37642479844315,6.229247818441838
NedoStudio,4.0,50.0,50.505050505050505
Neko Climax Studios,6.0,95.61875928405375,48.04962778093153
NeocoreGames,10.0,75.1677774792499,2.8181320107528323
Neon Green Pin Games,1.0,53.06122448979592,53.59719645433931
Netcore Games,1.0,95.4355108877722,13.653148910983148
New Reality Games,1.2857142857142858,57.76479780099336,30.664470938647998
New World Interactive,9.0,89.26136681174933,7.491967289191362
New Worlds Games,1.0,33.07692307692308,21.69745385825788
NewRealityGames,1.0,33.33333333333333,16.75041876046901
"Nicalis, Inc.",1.0,98.01581444385872,6.538746794119994
Night School Studio,7.0,93.38438630078709,4.671555092585647
Nightdive Studios,4.0,94.03508771929825,13.452802248826645
Ninja Kiwi,14.0,93.41595662277304,9.35094660888619
Ninja Theory,20.0,91.80278281911676,3.061113131681119
Nival,11.0,54.38121047877146,5.443564612489635
Northway Games,1.0,85.97560975609755,5.735531004409443
Nuke Nine,1.0,89.86810551558753,5.995203836930456
Numantian Games,12.0,81.58089748867847,3.2645417162336328
Nuno Donato,4.0,64.70588235294117,16.217013121037887
Oddworld Inhabitants,6.0,91.124871001032,30.476545485294984
"Oddworld Inhabitants, Inc.",10.0,86.58940397350993,4.331636016683839
Offworld Industries,27.0,89.94729045371551,2.2492445724860093
OoveeÃ‚Â® Game Studios,18.0,83.76281882724165,6.986056616116901
Osumia Games,10.0,89.07322654462243,5.942176554010835
Out of the Park Developments,1.0,82.6366135597729,4.133897626802046
Overhype Studios,1.0,89.5446162576252,2.985815813858793
Owlchemy Labs,1.0,89.49964763918253,4.477220992455354
PQube Limited,10.0,95.55822328931572,7.356291246290663
PSY LABS,1.0,75.0,75.75757575757576
Paleno Games,6.0,83.68794326241135,84.53327602263774
PanGuoJun,2.0,90.0,45.22613065326633
Panic,7.0,84.75903181785534,4.24007162670612
Panic Art Studios,8.0,71.78641067946603,11.9843757394768
Panoramik Inc,6.0,42.85714285714285,2.859048889736014
Paradise Project,4.2,82.17995821311754,37.57439602042386
Paradox Interactive,5.538461538461538,82.52031175473516,4.300751768852174
Patagoniart,2.5,57.29166666666667,14.358813700918963
PatchNoteStudio,1.0,35.294117647058826,7.072969468348462
Pathea Games,2.0,61.15981119352664,6.122103222575239
Payload Studios,18.0,90.96484667165296,3.6400498868208473
"Perfect.Golf, Inc.",1.0,64.19213973799127,1.8345853026004932
Perfuse Entertainment,9.0,86.9172932330827,9.6682194920003
Permadeath,10.0,77.25190839694656,5.153562935086495
Perun Creative,3.0,70.97560975609755,3.737525526914037
Phanom Games,1.0,12.5,1.3904338153503892
Pipliz,1.0,90.50802139037432,4.527664901969701
Pixel Ferrets,1.0,90.79555966697502,6.057075361372584
Pixel Gangsta Studio,2.0,68.42105263157895,3.60300435132064
PixelTail Games,1.0,89.17629792698587,5.949052563508063
Planetary Annihilation Inc,11.0,84.83441033925686,2.121390606132955
"PlayStation Mobile, Inc.",18.0,91.2889935256033,4.566733042801566
PlayWay S.A.,13.2,83.33385157688389,4.458029082948587
Playdead,14.0,94.02916684825306,7.025613902105223
Plug In Digital,6.0,82.56472973178361,4.347167498095406
Pocketwatch Games,6.5,87.5662000337325,5.152061306213774
Polygon Art,1.0,25.0,5.01002004008016
"PopCap Games, Inc.",3.4,94.78731854033147,18.995454617300894
Positech Games,6.333333333333333,81.30209420908352,3.9919053368834003
Powerhoof,1.0,96.24772313296904,6.420795405801804
Prideful Sloth,10.0,81.11480865224625,3.2458907023707986
Private Division,9.0,94.22782450456047,2.356284683784958
ProGames Studio,5.0,83.97150489759572,16.827956893305757
"Project """"The Game""""",26.0,20.0,6.68896321070234
Project Moon,7.0,85.7603092783505,3.431785085168088
Proximity Games,2.0,50.70422535211267,25.479510227192296
PsychoFlux Entertainment,1.0,75.0,75.75757575757576
"Psyonix, Inc.",12.0,89.58641443067032,4.481561502284658
Pyromancers.com,9.0,87.48043818466354,5.835919825527921
RCTO Productions,9.0,25.83237657864523,1.7233073101164262
REX PEX GAMES,1.0,44.44444444444444,44.89337822671156
ROCKFISH Games,12.0,79.19280065448595,2.640640235227941
RUST LTD.,1.0,96.71559366371169,4.838198782576873
Raconteur Games,1.0,66.66666666666666,13.360053440213758
Rain Games,16.0,81.24076809453472,8.132209018471944
Raiser Games,14.0,74.23125337169574,2.9704383101919065
Rake in Grass,1.0,92.0496894409938,7.677205124353111
Raw Fury,12.0,86.79455729106417,11.583682553226438
Re-Logic,9.0,98.04875893705224,9.814690584289512
Rebellion,7.0,88.0450466444384,8.633301923728846
Red Barrels,9.5,89.29042282320911,3.7762718690299715
Red Hook Studios,12.0,89.84834323273134,3.5953718780604778
Red Thread Games,4.0,81.05263157894737,3.243402624207578
